Locality	VolumeClass	Comm	Area	TerrUnivStructGroup	ContractNumberofBAT	ContractNumberofJTI	ContractNumberofPMI	ContractNumberofNon	TmrName	LegalName	OutletName	TerrType	PlannedVisits	CompletedVisits	TotalAmount	NumberofCustomer	TotalAnnualVol	MTDSales	SalesMTDsply	YTDSales	SalesYTDsply	MTDSalesDSA	SalesMTDsplyDSA	YTDSalesDSA	SalesYTDsplyDSA	BenefitsMTD	BenefitsMTDSPLY	BenefitsYTD	BenefitsYTDSPLY	SalesEvolutionSPLM	Overdue	DelayDay	BatVolume	PaymentBehavior	Oos	OosCount	CompletedVisitsYTD	EfficientVisitsYTD	CompletedVisitsYTDSPLY	EfficientVisitsYTDSPLY	Invoices	InvoicesSply	VariableFeeYTD	RcfYTD	MeritBasicYTD	OthersYTD	BoosterYTD	TradeMarginYTD	VariableFeeSPLY	RcfSPLY	MeritBasicSPLY	OthersSPLY	BoosterSPLY	TradeMarginSPLY	CompliancyPercent	NonC	Checkno	CompliancyComm	CompliancyPlanogram	CompliancyPromotion	CompliancyVisibility	ContractStartDate	ContractEndDate	ContractType	Position	ContractValue	DayPassed	DayRemaining	ReportDate
BAIA MARE	5	Bat	A32	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	V&D COM SRL	VLADUT	P	3	1	15154.50	1	1192	50.00	31.20	661.90	626.12	3.13	2.08	2.90	2.76	1807.88	1864.14	19133.70	31787.02	0.24			695	-0.36	0	48	97	83	94	88	93	101	0.00	0.00	0.00	24.00	2292.36	16817.34	0.00	0.00	0.00	0.00	3889.38	27897.64	100	0	4	0	0	0	0	01/02/2015	31/01/2019	Fee Fix	1st Position	17200	661	799	22/11/2016
BAIA MARE	5	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	COLUMBUS OPERATIONAL SRL	COLUMBUS 608 BAIA MARE ANDERCO	P	3	2	0.00	1	1553	39.88	36.92	564.12	645.22	2.49	2.46	2.47	2.84								1031	19.74	0	24	49	49	51	36	52	55													100	0	2	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LS TRAVEL RETAIL ROMANIA SRL	INMEDIO BAIA MARE AUCHAN 071	P	4	2	0.00	1	1328	86.58	53.66	1080.56	834.90	5.41	3.58	4.74	3.68								705	-0.26	0	56	95	94	92	92	107	101													100	0	2	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	OMV BAIA MARE BVD BUCURESTI 1310304 R625	P	4	1	0.00	1	1692	60.80	52.14	993.86	896.86	3.80	3.48	4.36	3.95								981	-1.04	9	24	48	48	51	51	49	53													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	PETROM BAIA MARE GARII 1310306 R762	P	4	1	0.00	1	1051	33.20	31.64	551.76	514.80	2.08	2.11	2.42	2.27								571	-1.04	1	24	50	49	48	47	52	49													100	0	4	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	PETROM BAIA MARE UNIRII 1310302 R624	P	4	2	0.00	1	1703	71.80	62.80	968.38	905.48	4.49	4.19	4.25	3.99								961	-1.04	0	24	47	46	47	47	48	50													100	0	5	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	COMEXMAR SRL	COMEXMA	P	2	1	12059.00	1	1053	35.60	37.00	696.76	718.92	2.23	2.47	3.06	3.17	1817.06	2245.94	32427.99	35004.61	-0.03	0.03	313	748	-0.40	0	48	90	89	90	89	93	93	12368.59	0.00	0.00	156.00	2113.10	17790.30	0.00	0.00	0.00	0.00	2538.04	32466.57	100	0	3	0	0	0	0	01/06/2016	31/07/2020	Fee Fix + Fee Variabil	1st Position	20000	175	1346	22/11/2016
BAIA MARE	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	DAYTONA COM SRL	DAYTONA MAGAZIN VANATORUL	P	3	2	156671.84	1	1137	377.56	143.60	3443.16	2042.40	23.60	9.57	15.10	9.00	20607.07	6833.08	110858.17	93538.44	-0.19	61520.75	2	738	-0.18	0	56	136	132	107	106	143	107	0.00	13058.29	0.00	0.00	8145.31	89654.57						93538.44	100	0	5	0	0	0	0	01/02/2016	31/12/2016	RCF + Fee Fix	1st Position	11340	296	38	22/11/2016
BAIA MARE	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	EDGAR SRL	LA VIOLETA	P	2	2	7816.90	1	1237	33.68	36.88	606.44	566.36	2.11	2.46	2.66	2.49	1071.25	2102.69	20332.02	27094.73	-0.12			670	-0.07	0	48	129	126	111	111	128	117	2876.66	0.00	0.00	24.00	1466.88	15964.48	0.00	0.00	0.00	0.00	1368.25	25695.48	100	0	5	0	0	0	0	01/03/2016	29/02/2020	Fee Variabil	1st Position	0	267	1193	22/11/2016
BAIA MARE	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	FILIMON VIOARA II	FILIMON	P	4	2	11207.98	1	1500	43.88	52.88	756.92	798.88	2.74	3.53	3.32	3.52	1292.47	2814.13	28964.87	40496.79	0.02			926	0.00	14	72	136	136	133	133	139	141	8121.40	0.00	0.00	180.00	1006.39	19657.08	500.96	0.00	0.00	0.00	3560.66	36435.17	100	0	6	0	0	0	0	01/06/2015	31/05/2019	Fee Fix + Fee Variabil	1st Position	32000	541	919	22/11/2016
BAIA MARE	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	LAURAN GELU EMIL II	SELECT	P	2	1	6967.69	1	1070	26.24	33.64	493.34	548.28	1.64	2.24	2.16	2.42	818.41	1637.56	15965.79	28493.88	-0.15			744	0.00	0	48	97	93	96	96	95	97	2305.79	0.00	0.00	132.00	653.38	12874.62	0.00	0.00	0.00	0.00	3433.56	25060.32	100	0	4	0	0	0	0	01/03/2016	29/02/2020	Fee Fix + Fee Variabil	1st Position	6000	267	1193	22/11/2016
BAIA MARE	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	LIANA SRL	LIANA 2	P	3	1	4753.38	1	1083	17.80	20.80	350.04	382.62	1.11	1.39	1.54	1.69	944.71	1183.23	12822.48	20231.26	-0.02			697	-0.65	0	24	45	44	45	42	44	43	2598.24	0.00	0.00	48.00	1130.16	9046.08	0.00	0.00	0.00	0.00	3043.21	17188.05	100	0	4	0	0	0	0	01/01/2015	31/12/2018	Fee Fix + Fee Variabil	1st Position	48000	692	768	22/11/2016
BAIA MARE	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	LIMES COM SRL	LIMES	P	2	1	7630.02	1	1364	33.20	39.08	589.38	679.10	2.08	2.61	2.59	2.99	1356.83	1774.62	23048.79	32134.10	0.04			859	-4.01	0	24	55	48	52	50	48	49	6188.36	0.00	0.00	24.00	1981.54	14854.89	930.98	0.00	0.00	0.00	1527.68	29675.44	100	0	4	0	0	0	0	01/05/2015	30/04/2017	Fee Fix + Fee Variabil	1st Position	2600	572	158	22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	COLUMBUS OPERATIONAL SRL	COLUMBUS 607 BAIA MARE ANDERCO	P	3	2	0.00	1	1025	30.06	29.46	517.50	500.56	1.88	1.96	2.27	2.21								679	19.74	0	24	49	49	47	34	53	51													100	0	2	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LS TRAVEL RETAIL ROMANIA SRL	INMEDIO BAIA MARE GOLD PLAZA 228	P	4	1	0.00	1	1820	69.00	50.48	854.60	718.26	4.31	3.37	3.75	3.16								989	-0.26	0	56	104	89	97	93	91	100													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	MM STATION SRL	MOL 91119 BAIA MARE VICTORIEI	P	4	2	0.00	1	1863	76.76	61.80	1372.92	1052.60	4.80	4.12	6.02	4.64								1119	-1.85	0	24	61	61	63	63	64	67													100	0	2	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	OMV BAIA MARE INDEPENDENTEI 1002 R892	P	4	1	0.00	1	1363	50.60	47.42	859.86	778.70	3.16	3.16	3.77	3.43								804	-1.04	0	24	46	44	47	47	46	50													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	PETROM 2 BAIA MARE MINERILOR 1310301 R626	P	4	1	0.00	1	1090	34.20	32.38	583.48	525.96	2.14	2.16	2.56	2.32								570	-1.04	0	24	47	47	46	46	49	49													100	0	3	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	PETROM 3 BAIA MARE V.LUCACIU 1310303 R627	P	4	1	0.00	1	1653	46.88	56.74	900.66	871.54	2.93	3.78	3.95	3.84								1054	-1.04	0	24	46	45	48	48	49	53													100	0	4	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	PETROM BAIA MARE CENTRU 5148 R893	P	4	1	0.00	1	1448	40.40	41.98	727.46	653.20	2.53	2.80	3.19	2.88								791	-1.04	0	24	49	49	48	48	52	52													100	0	3	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2074 BAIA MARE UNIRII	P	2	1	0.00	1	1021	33.08	30.38	584.52	509.20	2.07	2.03	2.56	2.24								612	2.10	0	24	47	47	47	34	50	51													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2186 BAIA MARE DECEBAL	P	2	1	0.00	1	1263	29.66	37.88	754.36	694.42	1.85	2.53	3.31	3.06								757	2.10	0	24	50	50	48	35	55	50													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	5	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	ROMPETROL DOWNSTREAM SRL	ROMPETROL HEI BAIA MARE DECEBAL	P	4	3	0.00	1	1187	28.56	17.00	537.96	501.40	1.79	1.13	2.36	2.21								608	-4.01	0	24	55	50	55	54	56	59													100	0	3	0	0	0	0								22/11/2016
BAIA MARE	5	Other	A32	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	JOKE SRL	JOKE	P	1	1	9065.80	1	1110	26.56	40.00	657.72	623.38	1.66	2.67	2.88	2.75	1470.12	2183.42	18664.67	32763.03	-0.28			653	0.46	0	48	103	99	106	100	101	104	0.00	0.00	0.00	48.00	1931.06	16685.61	0.00	0.00	0.00	0.00	5141.54	27621.49															22/11/2016
BAIA MARE	5	Other	A33	MUST WIN	0	0	0	1	DANIEL GAVRILA PODINA	GAJ COMIMPEX SRL	GAJ BOXA 48	P	1	1		1	1447																770		0	24	45	0	43	0																													22/11/2016
BAIA MARE	5	Other	A33	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	TYA & ARIS SHOP SRL	TYA & ARIS SHOP	P	1	1	5744.74	1	1466	28.60	20.40	512.56	348.24	1.79	1.36	2.25	1.53	900.54	1254.33	14894.65	17898.99	-0.06			834	0.00	0	48	93	93	91	89	94	89	0.00	0.00	0.00	120.00	1312.32	13462.33	0.00	0.00	0.00	0.00	1981.25	15917.74								01/06/2016	31/05/2020	Fee Fix	2nd Postion	12000	175	1285	22/11/2016
BAIA MARE	5	Other	A33	MUST WIN	0	1	0	0	DANIEL GAVRILA PODINA	KALMAN SRL	ALMA	P	2	1	9884.98	1	1422	39.56	42.02	682.88	717.28	2.47	2.80	3.00	3.16	1052.38	2317.82	19046.30	35722.95	0.00	0.02	357	790	0.28	0	24	47	47	46	46	46	50	0.00	0.00	0.00	96.00	1003.82	17946.48	0.00	0.00	0.00	0.00	3308.94	32414.01															22/11/2016
BAIA MARE	5	Other	A33	MUST WIN	0	1	0	0	DANIEL GAVRILA PODINA	KALMAN SRL	KALMAN	P	2	1	18191.80	1	1190	37.18	31.70	641.02	581.88	2.32	2.11	2.81	2.56	963.27	1820.28	18137.74	28284.01	0.06	8800.33	82	697	0.28	1	24	46	45	47	46	45	49	0.00	0.00	0.00	24.00	1610.76	16502.98	0.00	0.00	0.00	0.00	2194.80	26089.21															22/11/2016
BAIA MARE	5	Other	A33	MUST WIN	0	1	0	0	DANIEL GAVRILA PODINA	ROYAL IV SRL	ROYAL IV	P	1	1	7934.36	1	1101	21.96	43.88	546.00	624.84	1.37	2.93	2.39	2.75	858.02	2460.28	14903.01	30034.50	0.13			562	-0.85	0	48	89	87	87	86	87	87	0.00	0.00	0.00	72.00	835.20	13995.81	0.00	0.00	0.00	0.00	2140.74	27893.76															22/11/2016
BAIA MARE	5	Other	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	KAUFLAND ROMANIA SCS	KAUFLAND BAIA MARE COSBUC	P	2	1	0.00	1	1590	58.50	56.20	850.50	932.36	3.66	3.75	3.73	4.11								1100	-1.33	0	32	49	49	47	47	58	53																											22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	AGRAM PROD SRL	AGRAM	P	2	1	5392.35	1	704	24.84	25.16	398.42	341.62	1.55	1.68	1.75	1.50	925.60	1304.20	13597.53	17369.09	0.00			475	-0.36	0	48	91	91	56	56	90	57	2623.83	0.00	0.00	0.00	971.85	10001.85	0.00	0.00	0.00	0.00	2295.41	15073.68	100	0	4	0	0	0	0	01/12/2015	30/11/2019	Fee Variabil	1st Position	0	358	1102	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	AL-MARED SRL	ALMARED MARASESTI	P	1	1	3287.83	1	517	15.24	16.12	269.76	264.52	0.95	1.07	1.18	1.17	508.59	725.25	7505.73	13445.99	-0.14			351	-0.15	0	24	46	46	47	47	46	47	0.00	0.00	0.00	0.00	705.62	6800.11	0.00	0.00	0.00	0.00	1872.40	11573.59	100	0	3	0	0	0	0	01/06/2016	31/05/2020	Fee Variabil	1st Position	0	175	1285	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	AL-MARED SRL	ALMARED PALTINISULUI	P	2	1	4455.83	1	640	17.32	20.98	300.04	336.78	1.08	1.40	1.32	1.48	546.76	1116.40	10786.37	15647.97	-0.08			416	-0.15	0	24	64	63	45	45	62	46	2823.44	0.00	0.00	0.00	649.68	7313.25	0.00	0.00	0.00	0.00	1189.28	14458.69	100	0	4	0	0	0	0	01/06/2016	31/05/2020	Fee Variabil	1st Position	0	175	1285	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	AL-MARED SRL	ALMARED PETRU RARES 	P	2	1	3008.33	1	761	12.92	22.84	151.56	319.72	0.81	1.52	0.66	1.41	441.30	1181.78	4035.47	14597.31	-0.12			387	-0.15	0	24	29	29	44	44	28	45	0.00	0.00	0.00	0.00	175.82	3859.65	0.00	0.00	0.00	0.00	712.80	13884.51	100	0	4	0	0	0	0	01/06/2016	31/05/2020	Fee Variabil	1st Position	0	175	1285	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	BUDA ADRIANA II	BUDA	P	2	2	3029.73	1	557	13.38	16.52	226.44	198.36	0.84	1.10	0.99	0.87	436.70	855.94	6064.56	8703.37	-0.17			338	-0.68	0	24	54	50	53	51	50	63	0.00	0.00	0.00	0.00	512.18	5552.38	0.00	0.00	0.00	0.00	116.51	8586.86	100	0	4	0	0	0	0	01/04/2014	31/03/2018	Fee Fix	1st Position	5808	967	493	22/11/2016
